"filename", "language", "Python", "pip requirements", "YAML", "Markdown", "Docker", "HTML", "MS SQL", "JSON", "comment", "blank", "total"
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_backend\apps\dotori_memberships\migrations\0002_remove_paymenttransaction_pg_provider_and_more.py", "Python", 52, 0, 0, 0, 0, 0, 0, 0, 1, 6, 59
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_backend\apps\dotori_memberships\migrations\0003_quizattemptlog_summarydetaillog_userloginlog.py", "Python", 42, 0, 0, 0, 0, 0, 0, 0, 1, 6, 49
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_backend\apps\dotori_memberships\migrations\0004_roleplaylog.py", "Python", 20, 0, 0, 0, 0, 0, 0, 0, 1, 6, 27
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_backend\apps\dotori_memberships\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_backend\apps\dotori_memberships\models.py", "Python", 109, 0, 0, 0, 0, 0, 0, 0, 12, 35, 156
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_backend\apps\dotori_memberships\models_analytics.py", "Python", 32, 0, 0, 0, 0, 0, 0, 0, 12, 16, 60
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_backend\apps\dotori_memberships\serializers.py", "Python", 30, 0, 0, 0, 0, 0, 0, 0, 0, 12, 42
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_backend\apps\dotori_memberships\services.py", "Python", 210, 0, 0, 0, 0, 0, 0, 0, 51, 71, 332
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_backend\apps\dotori_memberships\urls.py", "Python", 40, 0, 0, 0, 0, 0, 0, 0, 8, 9, 57
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_backend\apps\dotori_memberships\views.py", "Python", 209, 0, 0, 0, 0, 0, 0, 0, 69, 52, 330
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_backend\apps\dotori_memberships\views_admin_analytics.py", "Python", 61, 0, 0, 0, 0, 0, 0, 0, 4, 14, 79
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_backend\apps\dotori_memberships\views_analytics.py", "Python", 204, 0, 0, 0, 0, 0, 0, 0, 28, 39, 271
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_backend\apps\dotori_memberships\views_stats.py", "Python", 130, 0, 0, 0, 0, 0, 0, 0, 40, 27, 197
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_backend\apps\dotori_quizzes\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_backend\apps\dotori_quizzes\admin.py", "Python", 11, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14
