"filename", "language", "JSON", "C++", "HTML", "YAML", "CMake", "Markdown", "XML", "Swift", "Dart", "Java Properties", "comment", "blank", "total"
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_flutter_client\lib\screens\detector_video_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 268, 0, 138, 46, 452
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_flutter_client\lib\screens\home_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 507, 0, 527, 107, 1141
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_flutter_client\lib\screens\landing_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 160, 0, 56, 18, 234
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_flutter_client\lib\screens\login_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 236, 0, 144, 44, 424
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_flutter_client\lib\screens\membership_overview_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 648, 0, 192, 77, 917
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_flutter_client\lib\screens\membership_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 346, 0, 209, 71, 626
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_flutter_client\lib\screens\my_page_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 638, 0, 2138, 303, 3079
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_flutter_client\lib\screens\point_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 463, 0, 196, 51, 710
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_flutter_client\lib\screens\quiz_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 388, 0, 279, 66, 733
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_flutter_client\lib\screens\register_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 463, 0, 326, 82, 871
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_flutter_client\lib\screens\roleplay_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 421, 0, 509, 107, 1037
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_flutter_client\lib\screens\splash_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 116, 0, 35, 15, 166
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_flutter_client\lib\screens\summary_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 454, 0, 305, 87, 846
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_flutter_client\lib\services\analytics_api_service.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 2, 8, 37
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_flutter_client\lib\services\api_client.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 148, 0, 17, 24, 189
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_flutter_client\lib\services\auth_service.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 243, 0, 18, 34, 295
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_flutter_client\lib\services\detector_service.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 140, 0, 16, 22, 178
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_flutter_client\lib\services\membership_api_service.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 137, 0, 24, 41, 202
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_flutter_client\lib\services\membership_service.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 214, 0, 2, 35, 251
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_flutter_client\lib\services\quiz_service.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 43, 0, 6, 5, 54
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_flutter_client\lib\services\roleplay_service.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 86, 0, 7, 17, 110
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_flutter_client\lib\services\summary_service.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 123, 0, 11, 23, 157
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_flutter_client\lib\theme\app_theme.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 31, 0, 7, 7, 45
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_flutter_client\lib\widgets\dotori_button.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 77, 0, 22, 13, 112
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_flutter_client\lib\widgets\feature_carousel.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 84, 0, 8, 19, 111
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_flutter_client\lib\widgets\feature_carousel_item.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 219, 0, 12, 27, 258
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_flutter_client\lib\widgets\home_feature_card.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 66, 0, 2, 4, 72
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_flutter_client\lib\widgets\home_section_title.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 1, 4, 31
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_flutter_client\lib\widgets\result_card.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 171, 0, 175, 47, 393
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_flutter_client\linux\CMakeLists.txt", "CMake", 0, 0, 0, 0, 104, 0, 0, 0, 0, 0, 0, 25, 129
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_flutter_client\linux\flutter\CMakeLists.txt", "CMake", 0, 0, 0, 0, 79, 0, 0, 0, 0, 0, 0, 10, 89
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_flutter_client\linux\flutter\generated_plugin_registrant.cc", "C++", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 16
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_flutter_client\linux\flutter\generated_plugin_registrant.h", "C++", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_flutter_client\linux\flutter\generated_plugins.cmake", "CMake", 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 6, 25
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_flutter_client\linux\runner\CMakeLists.txt", "CMake", 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 6, 27
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_flutter_client\linux\runner\main.cc", "C++", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_flutter_client\linux\runner\my_application.cc", "C++", 0, 83, 0, 0, 0, 0, 0, 0, 0, 0, 21, 27, 131
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_flutter_client\linux\runner\my_application.h", "C++", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 7, 5, 19
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_flutter_client\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 3, 4, 15
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_flutter_client\macos\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 2, 4, 13
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_flutter_client\macos\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 3, 14
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_flutter_client\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 69
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_flutter_client\macos\Runner\Base.lproj\MainMenu.xib", "XML", 0, 0, 0, 0, 0, 0, 343, 0, 0, 0, 0, 1, 344
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_flutter_client\macos\Runner\MainFlutterWindow.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 4, 16
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_flutter_client\pubspec.yaml", "YAML", 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 4, 11, 39
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_flutter_client\web\index.html", "HTML", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 15, 5, 39
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_flutter_client\web\manifest.json", "JSON", 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 36
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_flutter_client\windows\CMakeLists.txt", "CMake", 0, 0, 0, 0, 89, 0, 0, 0, 0, 0, 0, 20, 109
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_flutter_client\windows\flutter\CMakeLists.txt", "CMake", 0, 0, 0, 0, 98, 0, 0, 0, 0, 0, 0, 12, 110
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_flutter_client\windows\flutter\generated_plugin_registrant.cc", "C++", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 15
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_flutter_client\windows\flutter\generated_plugin_registrant.h", "C++", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_flutter_client\windows\flutter\generated_plugins.cmake", "CMake", 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 6, 25
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_flutter_client\windows\runner\CMakeLists.txt", "CMake", 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 7, 41
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_flutter_client\windows\runner\flutter_window.cpp", "C++", 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 7, 16, 72
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_flutter_client\windows\runner\flutter_window.h", "C++", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 34
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_flutter_client\windows\runner\main.cpp", "C++", 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 44
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_flutter_client\windows\runner\resource.h", "C++", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 17
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_flutter_client\windows\runner\utils.cpp", "C++", 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 66
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_flutter_client\windows\runner\utils.h", "C++", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 20
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_flutter_client\windows\runner\win32_window.cpp", "C++", 0, 210, 0, 0, 0, 0, 0, 0, 0, 0, 24, 55, 289
"c:\Users\joy14_hq\Desktop\Graduation Project\dotori_flutter_client\windows\runner\win32_window.h", "C++", 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 31, 24, 103
"Total", "-", 269, 547, 19, 29, 463, 22, 521, 57, 9136, 8, 7306, 2114, 20491
